receive_wall_iso,receive_monotonic_ns,elapsed_sec,side,cycle,completed_cycles,step_index,step_name,sequence_status,motion_state,power_state,servo_state,collision_state
2026-07-17T09:58:15.321+07:00,3592822164691,0.078514494,right,,,,,,0,1,1,0
2026-07-17T09:58:15.324+07:00,3592825885285,0.082235088,left,,,,,,0,1,1,0
2026-07-17T09:58:15.392+07:00,3592893126974,0.149476777,right,,,,,,0,1,1,0
2026-07-17T09:58:15.401+07:00,3592902594444,0.158944247,left,,,,,,0,1,1,0
2026-07-17T09:58:15.453+07:00,3592954011461,0.210361264,right,,,,,,0,1,1,0
2026-07-17T09:58:15.508+07:00,3593009908036,0.266257839,left,,,,,,0,1,1,0
2026-07-17T09:58:15.516+07:00,3593017870353,0.274220156,right,,,,,,0,1,1,0
2026-07-17T09:58:15.531+07:00,3593032827769,0.289177572,left,,,,,,0,1,1,0
2026-07-17T09:58:15.580+07:00,3593081776510,0.338126313,right,,,,,,0,1,1,0
2026-07-17T09:58:15.599+07:00,3593100129965,0.356479768,left,,,,,,0,1,1,0
2026-07-17T09:58:15.648+07:00,3593149373547,0.405723350,right,,,,,,0,1,1,0
2026-07-17T09:58:15.663+07:00,3593164065691,0.420415494,left,,,,,,0,1,1,0
2026-07-17T09:58:15.718+07:00,3593219302610,0.475652413,right,,,,,,0,1,1,0
2026-07-17T09:58:15.730+07:00,3593231513185,0.487862988,left,,,,,,0,1,1,0
2026-07-17T09:58:15.786+07:00,3593287799191,0.544148994,right,,,,,,0,1,1,0
2026-07-17T09:58:15.794+07:00,3593295464712,0.551814515,left,,,,,,0,1,1,0
2026-07-17T09:58:15.848+07:00,3593349568690,0.605918493,right,,,,,,0,1,1,0
2026-07-17T09:58:15.857+07:00,3593358590597,0.614940400,left,,,,,,0,1,1,0
2026-07-17T09:58:15.918+07:00,3593419941553,0.676291356,left,,,,,,0,1,1,0
2026-07-17T09:58:15.935+07:00,3593436785004,0.693134807,right,,,,,,0,1,1,0
2026-07-17T09:58:15.984+07:00,3593485317532,0.741667335,left,,,,,,0,1,1,0
2026-07-17T09:58:16.002+07:00,3593503199929,0.759549732,right,,,,,,0,1,1,0
2026-07-17T09:58:16.046+07:00,3593547033648,0.803383451,left,,,,,,0,1,1,0
2026-07-17T09:58:16.107+07:00,3593608685527,0.865035330,right,,,,,,0,1,1,0
2026-07-17T09:58:16.109+07:00,3593609978324,0.866328127,left,,,,,,0,1,1,0
2026-07-17T09:58:16.136+07:00,3593637788258,0.894138061,right,,,,,,0,1,1,0
2026-07-17T09:58:16.172+07:00,3593673500639,0.929850442,left,,,,,,0,1,1,0
2026-07-17T09:58:16.221+07:00,3593722378182,0.978727985,right,,,,,,0,1,1,0
2026-07-17T09:58:16.239+07:00,3593740157420,0.996507223,left,,,,,,0,1,1,0
2026-07-17T09:58:16.308+07:00,3593809012486,1.065362289,left,,,,,,0,1,1,0
2026-07-17T09:58:16.308+07:00,3593809049439,1.065399242,right,,,,,,0,1,1,0
2026-07-17T09:58:16.352+07:00,3593853189312,1.109539115,right,,,,,,0,1,1,0
2026-07-17T09:58:16.367+07:00,3593868880906,1.125230709,left,,,,,,0,1,1,0
2026-07-17T09:58:16.416+07:00,3593917377797,1.173727600,right,,,,,,0,1,1,0
2026-07-17T09:58:16.428+07:00,3593929348703,1.185698506,left,,,,,,0,1,1,0
2026-07-17T09:58:16.508+07:00,3594009817487,1.266167290,left,,,,,,0,1,1,0
2026-07-17T09:58:16.508+07:00,3594009887787,1.266237590,right,,,,,,0,1,1,0
2026-07-17T09:58:16.547+07:00,3594048818773,1.305168576,right,,,,,,0,1,1,0
2026-07-17T09:58:16.564+07:00,3594065591024,1.321940827,left,,,,,,0,1,1,0
2026-07-17T09:58:16.613+07:00,3594114040163,1.370389966,right,,,,,,0,1,1,0
2026-07-17T09:58:16.630+07:00,3594131555765,1.387905568,left,,,,,,0,1,1,0
2026-07-17T09:58:16.707+07:00,3594208435934,1.464785737,left,,,,,,0,1,1,0
2026-07-17T09:58:16.707+07:00,3594208505701,1.464855504,right,,,,,,0,1,1,0
2026-07-17T09:58:16.763+07:00,3594264615612,1.520965415,left,,,,,,0,1,1,0
2026-07-17T09:58:16.767+07:00,3594268848260,1.525198063,right,,,,,,0,1,1,0
2026-07-17T09:58:16.831+07:00,3594332435226,1.588785029,right,,,,,,0,1,1,0
2026-07-17T09:58:16.836+07:00,3594337803095,1.594152898,left,,,,,,0,1,1,0
2026-07-17T09:58:16.918+07:00,3594419044033,1.675393836,left,,,,,,0,1,1,0
2026-07-17T09:58:16.918+07:00,3594419082787,1.675432590,right,,,,,,0,1,1,0
2026-07-17T09:58:16.966+07:00,3594467312160,1.723661963,left,,,,,,0,1,1,0
2026-07-17T09:58:16.971+07:00,3594472947251,1.729297054,right,,,,,,0,1,1,0
2026-07-17T09:58:17.033+07:00,3594534456272,1.790806075,left,,,,,,0,1,1,0
2026-07-17T09:58:17.034+07:00,3594535211520,1.791561323,right,,,,,,0,1,1,0
2026-07-17T09:58:17.139+07:00,3594640126958,1.896476761,left,,,,,,0,1,1,0
2026-07-17T09:58:17.139+07:00,3594640197658,1.896547461,right,,,,,,0,1,1,0
2026-07-17T09:58:17.160+07:00,3594661365050,1.917714853,left,,,,,,0,1,1,0
2026-07-17T09:58:17.181+07:00,3594682956590,1.939306393,right,,,,,,0,1,1,0
2026-07-17T09:58:17.232+07:00,3594733781531,1.990131334,left,,,,,,0,1,1,0
2026-07-17T09:58:17.256+07:00,3594757535029,2.013884832,right,,,,,,0,1,1,0
2026-07-17T09:58:17.307+07:00,3594808118083,2.064467886,left,,,,,,0,1,1,0
2026-07-17T09:58:17.320+07:00,3594821630882,2.077980685,right,,,,,,0,1,1,0
2026-07-17T09:58:17.360+07:00,3594861758887,2.118108690,left,,,,,,0,1,1,0
2026-07-17T09:58:17.388+07:00,3594889476683,2.145826486,right,,,,,,0,1,1,0
2026-07-17T09:58:17.427+07:00,3594928651964,2.185001767,left,,,,,,0,1,1,0
2026-07-17T09:58:17.455+07:00,3594956282616,2.212632419,right,,,,,,0,1,1,0
2026-07-17T09:58:17.507+07:00,3595008321782,2.264671585,left,,,,,,0,1,1,0
