side,force_magnitude_raw,load_share_percent,max_pose_difference_rad,condition_number,relative_torque_residual
left,82.24617200988783,49.339845667556034,0.0,10.156020106439536,0.0026042686260661315
right,84.44703689078312,50.660154332443966,0.0,10.15688961933854,0.0025660087003812307
