step_index,step_name,left_start_sec,right_start_sec,start_difference_sec,left_stop_sec,right_stop_sec,stop_difference_sec,left_duration_sec,right_duration_sec,duration_difference_sec,max_progress_mismatch_percent,rms_progress_mismatch_percent,result
0,Pre_Grap1,4.463530111,4.469355289,0.005825178000000264,6.006095438,5.976314244,0.0297811939999999,1.5425653270000002,1.506958955,0.035606372000000164,3.8257004232599723,1.8974425877531202,ok
1,Pre_Grap2,6.06646046,6.064764254,0.001696206000000089,7.736069983,7.731979928,0.004090054999999815,1.669609523,1.6672156740000004,0.002393848999999726,2.031832881444584,0.8361253665249668,ok
2,Pre_Grap3,7.903761586,7.903799886,3.829999999993561e-05,10.372607183,10.327775778,0.044831405000000046,2.4688455969999996,2.4239758919999996,0.04486970499999998,2.0894161621353824,0.55679284390815,ok
3,Pre_Grap4,10.473704566,10.473739218,3.46520000000794e-05,12.065262761,12.098810681,0.033547920000000175,1.5915581949999993,1.6250714629999994,0.033513268000000096,3.360635875604681,0.9828005888810639,ok
4,Pre_Lift,12.264663469,12.267316797,0.0026533279999991777,13.806403248,13.803564411,0.002838837000000538,1.5417397790000003,1.5362476140000005,0.005492164999999716,6.052290532478914,2.1875038223987673,ok
5,Lift,14.463620493,14.470276615,0.006656121999998987,16.140339738,16.098194892,0.0421448460000029,1.676719245000001,1.6279182769999991,0.04880096800000189,3.6885719935640826,2.111438711659198,ok
6,Move,16.868747859,16.911805177,0.043057318000002454,21.664134925,21.696041722,0.03190679700000132,4.795387066,4.784236544999999,0.011150521000001135,0.8386102547763008,0.30628717195254834,ok
7,Pre_Place,22.313957621,22.277296549,0.03666107200000113,23.986212902,23.970585145,0.01562775699999719,1.6722552809999982,1.6932885960000021,0.021033315000003938,3.271830335475806,0.978295553337816,ok
8,Place,24.664520221,24.664555041,3.4819999999768925e-05,26.175521599,26.214648795,0.03912719599999903,1.5110013779999996,1.5500937539999988,0.03909237599999926,4.3264101102499,1.6521144828029521,ok
9,Leave1,26.863534382,26.863569206,3.4824000000099886e-05,28.463822688,28.481817407,0.017994719000000714,1.6002883059999995,1.618248201,0.017959895000000614,4.923153656464812,2.7477914651991067,ok
10,Leave2,28.675087133,28.684192202,0.009105068999996746,31.397077882,31.361257057,0.03582082500000183,2.7219907489999997,2.677064855000001,0.04492589399999858,2.7762176447677978,1.3708317081464159,ok
11,Leave3,31.474130787,31.503504733,0.029373945999999762,33.119022475,33.104502951,0.014519524000000672,1.6448916880000013,1.6009982180000009,0.043893470000000434,2.289924579811858,0.9444209943237061,ok
12,Leave2,34.264855678,34.263949802,0.0009058760000044686,35.814421439,35.874439281,0.0600178420000006,1.5495657609999967,1.6104894790000017,0.06092371800000507,4.786798081267307,2.7924185893457154,ok
13,Leave1,36.063310282,36.063347079,3.679699999992181e-05,38.782952791,38.765201945,0.017750845999998432,2.7196425089999963,2.701854865999998,0.017787642999998354,2.1883797879029236,0.8315874960906647,ok
14,Place,38.86411216,38.864185725,7.356500000099686e-05,40.463421056,40.479690474,0.016269418000000258,1.5993088960000037,1.615504749000003,0.01619585299999926,5.1886684236901015,2.05228057473481,ok
15,Pre_Place,41.072763795,41.085583203,0.012819407999998589,42.716327624,42.675054006,0.04127361799999818,1.6435638290000014,1.5894708030000047,0.05409302599999677,5.324157970443782,2.8904888738428633,ok
16,Move,43.280607626,43.27347932,0.007128305999998474,44.968880084,44.968973776,9.369200000008959e-05,1.6882724580000001,1.6954944559999987,0.007221997999998564,4.814229952453696,2.1508432395613544,ok
17,Lift,45.675271395,45.675064548,0.00020684700000117573,50.505848559,50.505880683,3.2124000000521846e-05,4.8305771639999975,4.830816134999999,0.00023897100000169758,0.7753967440734977,0.2004079050414145,ok
18,Pre_Lift,51.073813899,51.073850517,3.6617999995769424e-05,52.748968815,52.744448114,0.004520700999997018,1.6751549159999968,1.670597597000004,0.004557318999992788,2.768309353176901,0.6671666473804462,ok
19,Pre_Grap4,53.311873898,53.290386062,0.021487835999998595,54.9136618,54.911566561,0.002095238999999083,1.601787901999998,1.6211804989999976,0.019392596999999512,2.9948710043458004,1.5597842542810834,ok
20,Pre_Grap3,55.467484481,55.485847609,0.018363127999997175,57.066935233,57.135728765,0.06879353200000082,1.5994507520000028,1.6498811560000064,0.05043040400000365,1.694248894334105,0.966414235206573,ok
21,Pre_Grap2,57.2961114,57.279633265,0.01647813499999984,59.718304618,59.73641427,0.0181096519999997,2.4221932179999968,2.4567810049999963,0.03458778699999954,3.0506671248009654,1.3347913462604615,ok
22,Pre_Grap1,59.863573316,59.867562932,0.003989615999998364,61.474509244,61.480528099,0.006018855000000656,1.6109359279999964,1.6129651669999987,0.002029239000002292,1.0314750855720423,0.3910457230639658,ok
