sample_index,time_from_start_s,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,cartesian_json
0,0.0,3.0435853993483972,0.7917100171720609,-1.607322899986325,1.4967910599531176,-0.07450897840415759,0.7580524925618053,0.09761757833576006,2.3799668261136717,1.6279506226974045,-1.4963612576616248,3.206502148857973,2.413968636442987,"{""sample_index"":0,""time_from_start_s"":0,""object_pose"":{""translation_m"":[0.0611201706557056,0.0349755751879798,0.162246548732485],""matrix"":[[1,0,0,0.0611201706557056],[0,1,0,0.0349755751879798],[0,0,1,0.162246548732485],[0,0,0,1]],""rpy_rad"":[0,0,0]},""left_target"":{""translation_m"":[0.06664013880393732,0.32106215640200786,0.1610889442834062],""matrix"":[[-0.005900816200786166,-0.9999684514096004,-0.005317570276931474,0.06664013880393732],[-0.9999825900004563,0.005900690179881593,3.938756685125313e-05,0.32106215640200786],[-8.008989515119904e-06,0.005317710116827965,-0.9999858608475269,0.1610889442834062],[0,0,0,1]]},""right_target"":{""translation_m"":[0.05560020250747389,-0.2511110060260483,0.16340415318156384],""matrix"":[[-0.025926744713255477,0.9996443918117223,0.006236491637586145,0.05560020250747389],[0.9996631149360947,0.025933763285244642,-0.001047166715063825,-0.2511110060260483],[-0.001208530031865023,0.006207241032608594,-0.9999800046070547,0.16340415318156384],[0,0,0,1]]},""phase"":""RIGID""}"
1,1.0,2.943102772751139,0.7775394948406131,-1.570625526671144,1.4260080530223247,-0.14622930641999832,0.7729016053049971,0.19849745922080983,2.3931486607710433,1.5903766567681261,-1.4219405233067055,3.2750575258041525,2.3970558687581387,"{""sample_index"":1,""time_from_start_s"":1,""object_pose"":{""translation_m"":[0.0611201706557056,0.0349755751879798,0.25625909044681605],""matrix"":[[1,0,0,0.0611201706557056],[0,1,0,0.0349755751879798],[0,0,1,0.25625909044681605],[0,0,0,1]],""rpy_rad"":[0,0,0]},""left_target"":{""translation_m"":[0.06664013880393732,0.32106215640200786,0.25510148599773724],""matrix"":[[-0.005900816200786166,-0.9999684514096004,-0.005317570276931474,0.06664013880393732],[-0.9999825900004563,0.005900690179881593,3.938756685125313e-05,0.32106215640200786],[-8.008989515119904e-06,0.005317710116827965,-0.9999858608475269,0.25510148599773724],[0,0,0,1]]},""right_target"":{""translation_m"":[0.05560020250747389,-0.2511110060260483,0.2574166948958949],""matrix"":[[-0.025926744713255477,0.9996443918117223,0.006236491637586145,0.05560020250747389],[0.9996631149360947,0.025933763285244642,-0.001047166715063825,-0.2511110060260483],[-0.001208530031865023,0.006207241032608594,-0.9999800046070547,0.2574166948958949],[0,0,0,1]]},""phase"":""RIGID""}"
2,2.0,2.8464786888820433,0.7556735401708782,-1.514200476438199,1.3623607215954632,-0.22019128978743288,0.7951413213538537,0.29538663935455145,2.4136789438600808,1.5331364689485267,-1.3549497459651703,3.3464562116329333,2.372584794895986,"{""sample_index"":2,""time_from_start_s"":2,""object_pose"":{""translation_m"":[0.0611201706557056,0.0349755751879798,0.3502716321611471],""matrix"":[[1,0,0,0.0611201706557056],[0,1,0,0.0349755751879798],[0,0,1,0.3502716321611471],[0,0,0,1]],""rpy_rad"":[0,0,0]},""left_target"":{""translation_m"":[0.06664013880393732,0.32106215640200786,0.3491140277120683],""matrix"":[[-0.005900816200786166,-0.9999684514096004,-0.005317570276931474,0.06664013880393732],[-0.9999825900004563,0.005900690179881593,3.938756685125313e-05,0.32106215640200786],[-8.008989515119904e-06,0.005317710116827965,-0.9999858608475269,0.3491140277120683],[0,0,0,1]]},""right_target"":{""translation_m"":[0.05560020250747389,-0.2511110060260483,0.35142923661022596],""matrix"":[[-0.025926744713255477,0.9996443918117223,0.006236491637586145,0.05560020250747389],[0.9996631149360947,0.025933763285244642,-0.001047166715063825,-0.2511110060260483],[-0.001208530031865023,0.006207241032608594,-0.9999800046070547,0.35142923661022596],[0,0,0,1]]},""phase"":""RIGID""}"
3,3.0,2.9187690858119835,0.7077984818709046,-1.38238681216467,1.428646013062897,-0.18110476661866573,0.8891392233563318,0.22231205002135562,2.458453878256309,1.4031355314380554,-1.4231189966361941,3.3098497883663205,2.2776127861348865,"{""sample_index"":3,""time_from_start_s"":3,""object_pose"":{""translation_m"":[0.14329309186870964,0.0349755751879798,0.29605193314943],""matrix"":[[1,0,0,0.14329309186870964],[0,1,0,0.0349755751879798],[0,0,1,0.29605193314943],[0,0,0,1]],""rpy_rad"":[0,0,0]},""left_target"":{""translation_m"":[0.14881306001694136,0.32106215640200786,0.2948943287003512],""matrix"":[[-0.005900816200786166,-0.9999684514096004,-0.005317570276931474,0.14881306001694136],[-0.9999825900004563,0.005900690179881593,3.938756685125313e-05,0.32106215640200786],[-8.008989515119904e-06,0.005317710116827965,-0.9999858608475269,0.2948943287003512],[0,0,0,1]]},""right_target"":{""translation_m"":[0.13777312372047792,-0.2511110060260483,0.2972095375985089],""matrix"":[[-0.025926744713255477,0.9996443918117223,0.006236491637586145,0.13777312372047792],[0.9996631149360947,0.025933763285244642,-0.001047166715063825,-0.2511110060260483],[-0.001208530031865023,0.006207241032608594,-0.9999800046070547,0.2972095375985089],[0,0,0,1]]},""phase"":""RIGID""}"
4,4.0,2.982951242152098,0.6494063152292298,-1.229594555846734,1.4825524907294754,-0.14028392443575738,0.990145112412868,0.15743553809962804,2.5136535360974315,1.252615811001024,-1.4786785957172555,3.2708034156606565,2.175825626339809,"{""sample_index"":4,""time_from_start_s"":4,""object_pose"":{""translation_m"":[0.2254660130817137,0.0349755751879798,0.24183223413771293],""matrix"":[[1,0,0,0.2254660130817137],[0,1,0,0.0349755751879798],[0,0,1,0.24183223413771293],[0,0,0,1]],""rpy_rad"":[0,0,0]},""left_target"":{""translation_m"":[0.23098598122994543,0.32106215640200786,0.24067462968863412],""matrix"":[[-0.005900816200786166,-0.9999684514096004,-0.005317570276931474,0.23098598122994543],[-0.9999825900004563,0.005900690179881593,3.938756685125313e-05,0.32106215640200786],[-8.008989515119904e-06,0.005317710116827965,-0.9999858608475269,0.24067462968863412],[0,0,0,1]]},""right_target"":{""translation_m"":[0.219946044933482,-0.2511110060260483,0.24298983858679177],""matrix"":[[-0.025926744713255477,0.9996443918117223,0.006236491637586145,0.219946044933482],[0.9996631149360947,0.025933763285244642,-0.001047166715063825,-0.2511110060260483],[-0.001208530031865023,0.006207241032608594,-0.9999800046070547,0.24298983858679177],[0,0,0,1]]},""phase"":""RIGID""}"
5,5.0,3.0110335092424982,0.7257628123802858,-1.4272833369079567,1.4845636646876155,-0.10723620382914552,0.8703336555289211,0.12975451034038168,2.441378934058702,1.4487479248230486,-1.4824704844299728,3.2382690993965024,2.2980139109037543,"{""sample_index"":5,""time_from_start_s"":5,""object_pose"":{""translation_m"":[0.14329309186870964,0.0349755751879798,0.20203939143509897],""matrix"":[[1,0,0,0.14329309186870964],[0,1,0,0.0349755751879798],[0,0,1,0.20203939143509897],[0,0,0,1]],""rpy_rad"":[0,0,0]},""left_target"":{""translation_m"":[0.14881306001694136,0.32106215640200786,0.20088178698602016],""matrix"":[[-0.005900816200786166,-0.9999684514096004,-0.005317570276931474,0.14881306001694136],[-0.9999825900004563,0.005900690179881593,3.938756685125313e-05,0.32106215640200786],[-8.008989515119904e-06,0.005317710116827965,-0.9999858608475269,0.20088178698602016],[0,0,0,1]]},""right_target"":{""translation_m"":[0.13777312372047792,-0.2511110060260483,0.2031969958841778],""matrix"":[[-0.025926744713255477,0.9996443918117223,0.006236491637586145,0.13777312372047792],[0.9996631149360947,0.025933763285244642,-0.001047166715063825,-0.2511110060260483],[-0.001208530031865023,0.006207241032608594,-0.9999800046070547,0.2031969958841778],[0,0,0,1]]},""phase"":""RIGID""}"
6,6.0,3.043585399273297,0.7917100171891022,-1.6073228998082578,1.4967910600724383,-0.07450897840719317,0.7580524927832073,0.09761757863000613,2.379966826458924,1.6279506222812512,-1.4963612574471585,3.2065021483184237,2.413968636381501,"{""sample_index"":6,""time_from_start_s"":6,""object_pose"":{""translation_m"":[0.0611201706557056,0.0349755751879798,0.162246548732485],""matrix"":[[1,0,0,0.0611201706557056],[0,1,0,0.0349755751879798],[0,0,1,0.162246548732485],[0,0,0,1]],""rpy_rad"":[0,0,0]},""left_target"":{""translation_m"":[0.06664013880393732,0.32106215640200786,0.1610889442834062],""matrix"":[[-0.005900816200786166,-0.9999684514096004,-0.005317570276931474,0.06664013880393732],[-0.9999825900004563,0.005900690179881593,3.938756685125313e-05,0.32106215640200786],[-8.008989515119904e-06,0.005317710116827965,-0.9999858608475269,0.1610889442834062],[0,0,0,1]]},""right_target"":{""translation_m"":[0.05560020250747389,-0.2511110060260483,0.16340415318156384],""matrix"":[[-0.025926744713255477,0.9996443918117223,0.006236491637586145,0.05560020250747389],[0.9996631149360947,0.025933763285244642,-0.001047166715063825,-0.2511110060260483],[-0.001208530031865023,0.006207241032608594,-0.9999800046070547,0.16340415318156384],[0,0,0,1]]},""phase"":""RIGID""}"
