time_sec,x,y,z,qx,qy,qz,qw,desired_x,desired_y,desired_z,desired_qx,desired_qy,desired_qz,desired_qw,position_error_m,orientation_error_deg
0.205726121,1.2557955216582997,-0.0630225487865066,0.45742534011488756,0.9999999986693079,-2.0318366378564715e-05,-3.167574610113837e-05,3.528732687878864e-05,1.2557955216582997,-0.0630225487865066,0.45742534011488756,0.9999999986693079,-2.0318366378564715e-05,-3.167574610113837e-05,3.528732687878864e-05,0.0,0.0
0.30602047000000004,1.2557955216582997,-0.0630225487865066,0.45742534011488756,0.9999999986693079,-2.0318366378564715e-05,-3.167574610113837e-05,3.528732687878864e-05,1.2557955216582997,-0.0630225487865066,0.45742534011488756,0.9999999986693079,-2.0318366378564715e-05,-3.167574610113837e-05,3.528732687878864e-05,0.0,0.0
0.405677544,1.2557955216582997,-0.0630225487865066,0.45742534011488756,0.9999999986693079,-2.0318366378564715e-05,-3.167574610113837e-05,3.528732687878864e-05,1.2557955216582997,-0.0630225487865066,0.45742534011488756,0.9999999986693079,-2.0318366378564715e-05,-3.167574610113837e-05,3.528732687878864e-05,0.0,0.0
0.506009116,1.2557955216582997,-0.0630225487865066,0.45742534011488756,0.9999999986693079,-2.0318366378564715e-05,-3.167574610113837e-05,3.528732687878864e-05,1.2557955216582997,-0.0630225487865066,0.45742534011488756,0.9999999986693079,-2.0318366378564715e-05,-3.167574610113837e-05,3.528732687878864e-05,0.0,0.0
0.605890524,1.2557955216582997,-0.0630225487865066,0.45742534011488756,0.9999999986693079,-2.0318366378564715e-05,-3.167574610113837e-05,3.528732687878864e-05,1.2557955216582997,-0.0630225487865066,0.45742534011488756,0.9999999986693079,-2.0318366378564715e-05,-3.167574610113837e-05,3.528732687878864e-05,0.0,0.0
0.705749163,1.2557955216582997,-0.0630225487865066,0.45742534011488756,0.9999999986693079,-2.0318366378564715e-05,-3.167574610113837e-05,3.528732687878864e-05,1.2557955216582997,-0.0630225487865066,0.45742534011488756,0.9999999986693079,-2.0318366378564715e-05,-3.167574610113837e-05,3.528732687878864e-05,0.0,0.0
0.8058682800000001,1.2557955216582997,-0.0630225487865066,0.45742534011488756,0.9999999986693079,-2.0318366378564715e-05,-3.167574610113837e-05,3.528732687878864e-05,1.2557955216582997,-0.0630225487865066,0.45742534011488756,0.9999999986693079,-2.0318366378564715e-05,-3.167574610113837e-05,3.528732687878864e-05,0.0,0.0
0.905978853,1.2557955216582997,-0.0630225487865066,0.45742534011488756,0.9999999986693079,-2.0318366378564715e-05,-3.167574610113837e-05,3.528732687878864e-05,1.2557955216582997,-0.0630225487865066,0.45742534011488756,0.9999999986693079,-2.0318366378564715e-05,-3.167574610113837e-05,3.528732687878864e-05,0.0,0.0
1.0058690650000002,1.2557955216582997,-0.0630225487865066,0.45742534011488756,0.9999999986693079,-2.0318366378564715e-05,-3.167574610113837e-05,3.528732687878864e-05,1.2557955216582997,-0.0630225487865066,0.45742534011488756,0.9999999986693079,-2.0318366378564715e-05,-3.167574610113837e-05,3.528732687878864e-05,0.0,0.0
1.105866408,1.2557955216582997,-0.0630225487865066,0.45742534011488756,0.9999999986693079,-2.0318366378564715e-05,-3.167574610113837e-05,3.528732687878864e-05,1.2557955216582997,-0.0630225487865066,0.45742534011488756,0.9999999986693079,-2.0318366378564715e-05,-3.167574610113837e-05,3.528732687878864e-05,0.0,0.0
1.205785436,1.2557955216582997,-0.0630225487865066,0.45742534011488756,0.9999999986693079,-2.0318366378564715e-05,-3.167574610113837e-05,3.528732687878864e-05,1.2557955216582997,-0.0630225487865066,0.45742534011488756,0.9999999986693079,-2.0318366378564715e-05,-3.167574610113837e-05,3.528732687878864e-05,0.0,0.0
