time_sec,left_joint_1_position_rad,left_joint_1_lower_limit_rad,left_joint_1_upper_limit_rad,left_joint_1_margin_rad,left_joint_1_margin_percent,left_joint_1_activation,left_joint_1_status,left_joint_2_position_rad,left_joint_2_lower_limit_rad,left_joint_2_upper_limit_rad,left_joint_2_margin_rad,left_joint_2_margin_percent,left_joint_2_activation,left_joint_2_status,left_joint_3_position_rad,left_joint_3_lower_limit_rad,left_joint_3_upper_limit_rad,left_joint_3_margin_rad,left_joint_3_margin_percent,left_joint_3_activation,left_joint_3_status,left_joint_4_position_rad,left_joint_4_lower_limit_rad,left_joint_4_upper_limit_rad,left_joint_4_margin_rad,left_joint_4_margin_percent,left_joint_4_activation,left_joint_4_status,left_joint_5_position_rad,left_joint_5_lower_limit_rad,left_joint_5_upper_limit_rad,left_joint_5_margin_rad,left_joint_5_margin_percent,left_joint_5_activation,left_joint_5_status,left_joint_6_position_rad,left_joint_6_lower_limit_rad,left_joint_6_upper_limit_rad,left_joint_6_margin_rad,left_joint_6_margin_percent,left_joint_6_activation,left_joint_6_status,right_joint_1_position_rad,right_joint_1_lower_limit_rad,right_joint_1_upper_limit_rad,right_joint_1_margin_rad,right_joint_1_margin_percent,right_joint_1_activation,right_joint_1_status,right_joint_2_position_rad,right_joint_2_lower_limit_rad,right_joint_2_upper_limit_rad,right_joint_2_margin_rad,right_joint_2_margin_percent,right_joint_2_activation,right_joint_2_status,right_joint_3_position_rad,right_joint_3_lower_limit_rad,right_joint_3_upper_limit_rad,right_joint_3_margin_rad,right_joint_3_margin_percent,right_joint_3_activation,right_joint_3_status,right_joint_4_position_rad,right_joint_4_lower_limit_rad,right_joint_4_upper_limit_rad,right_joint_4_margin_rad,right_joint_4_margin_percent,right_joint_4_activation,right_joint_4_status,right_joint_5_position_rad,right_joint_5_lower_limit_rad,right_joint_5_upper_limit_rad,right_joint_5_margin_rad,right_joint_5_margin_percent,right_joint_5_activation,right_joint_5_status,right_joint_6_position_rad,right_joint_6_lower_limit_rad,right_joint_6_upper_limit_rad,right_joint_6_margin_rad,right_joint_6_margin_percent,right_joint_6_activation,right_joint_6_status,warning_count,danger_count,minimum_margin_rad,minimum_margin_joint
0.202141274,0.0,-6.28,6.28,6.28,50.0,0.0,OK,0.5212399999999997,-6.28,6.28,5.7587600000000005,45.85000000000001,0.0,OK,-0.8000720000000001,-6.28,6.28,5.479928,43.629999999999995,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,0.7988159999999995,-6.28,6.28,5.481184000000001,43.64,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,3.1399999999999997,-6.28,6.28,3.1400000000000006,25.000000000000004,0.0,OK,2.617504000000001,-6.28,6.28,3.662495999999999,29.159999999999993,0.0,OK,0.7988159999999995,-6.28,6.28,5.481184000000001,43.64,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,2.3399279999999996,-6.28,6.28,3.9400720000000007,31.370000000000005,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,0,0,3.1400000000000006,right_joint_1
0.402099478,0.0,-6.28,6.28,6.28,50.0,0.0,OK,0.5212399999999997,-6.28,6.28,5.7587600000000005,45.85000000000001,0.0,OK,-0.8000720000000001,-6.28,6.28,5.479928,43.629999999999995,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,0.7988159999999995,-6.28,6.28,5.481184000000001,43.64,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,3.1399999999999997,-6.28,6.28,3.1400000000000006,25.000000000000004,0.0,OK,2.617504000000001,-6.28,6.28,3.662495999999999,29.159999999999993,0.0,OK,0.7988159999999995,-6.28,6.28,5.481184000000001,43.64,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,2.3399279999999996,-6.28,6.28,3.9400720000000007,31.370000000000005,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,0,0,3.1400000000000006,right_joint_1
0.602097745,0.0,-6.28,6.28,6.28,50.0,0.0,OK,0.5212399999999997,-6.28,6.28,5.7587600000000005,45.85000000000001,0.0,OK,-0.8000720000000001,-6.28,6.28,5.479928,43.629999999999995,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,0.7988159999999995,-6.28,6.28,5.481184000000001,43.64,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,3.1399999999999997,-6.28,6.28,3.1400000000000006,25.000000000000004,0.0,OK,2.617504000000001,-6.28,6.28,3.662495999999999,29.159999999999993,0.0,OK,0.7988159999999995,-6.28,6.28,5.481184000000001,43.64,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,2.3399279999999996,-6.28,6.28,3.9400720000000007,31.370000000000005,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,0,0,3.1400000000000006,right_joint_1
0.8022161320000001,0.0,-6.28,6.28,6.28,50.0,0.0,OK,0.5212399999999997,-6.28,6.28,5.7587600000000005,45.85000000000001,0.0,OK,-0.8000720000000001,-6.28,6.28,5.479928,43.629999999999995,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,0.7988159999999995,-6.28,6.28,5.481184000000001,43.64,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,3.1399999999999997,-6.28,6.28,3.1400000000000006,25.000000000000004,0.0,OK,2.617504000000001,-6.28,6.28,3.662495999999999,29.159999999999993,0.0,OK,0.7988159999999995,-6.28,6.28,5.481184000000001,43.64,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,2.3399279999999996,-6.28,6.28,3.9400720000000007,31.370000000000005,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,0,0,3.1400000000000006,right_joint_1
1.002097706,0.0,-6.28,6.28,6.28,50.0,0.0,OK,0.5212399999999997,-6.28,6.28,5.7587600000000005,45.85000000000001,0.0,OK,-0.8000720000000001,-6.28,6.28,5.479928,43.629999999999995,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,0.7988159999999995,-6.28,6.28,5.481184000000001,43.64,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,3.1399999999999997,-6.28,6.28,3.1400000000000006,25.000000000000004,0.0,OK,2.617504000000001,-6.28,6.28,3.662495999999999,29.159999999999993,0.0,OK,0.7988159999999995,-6.28,6.28,5.481184000000001,43.64,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,2.3399279999999996,-6.28,6.28,3.9400720000000007,31.370000000000005,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,0,0,3.1400000000000006,right_joint_1
1.202106001,0.0,-6.28,6.28,6.28,50.0,0.0,OK,0.5212399999999997,-6.28,6.28,5.7587600000000005,45.85000000000001,0.0,OK,-0.8000720000000001,-6.28,6.28,5.479928,43.629999999999995,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,0.7988159999999995,-6.28,6.28,5.481184000000001,43.64,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,3.1399999999999997,-6.28,6.28,3.1400000000000006,25.000000000000004,0.0,OK,2.617504000000001,-6.28,6.28,3.662495999999999,29.159999999999993,0.0,OK,0.7988159999999995,-6.28,6.28,5.481184000000001,43.64,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,2.3399279999999996,-6.28,6.28,3.9400720000000007,31.370000000000005,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,0,0,3.1400000000000006,right_joint_1
1.4021003010000002,0.0,-6.28,6.28,6.28,50.0,0.0,OK,0.5212399999999997,-6.28,6.28,5.7587600000000005,45.85000000000001,0.0,OK,-0.8000720000000001,-6.28,6.28,5.479928,43.629999999999995,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,0.7988159999999995,-6.28,6.28,5.481184000000001,43.64,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,3.1399999999999997,-6.28,6.28,3.1400000000000006,25.000000000000004,0.0,OK,2.617504000000001,-6.28,6.28,3.662495999999999,29.159999999999993,0.0,OK,0.7988159999999995,-6.28,6.28,5.481184000000001,43.64,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,2.3399279999999996,-6.28,6.28,3.9400720000000007,31.370000000000005,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,0,0,3.1400000000000006,right_joint_1
1.602120803,0.0,-6.28,6.28,6.28,50.0,0.0,OK,0.5212399999999997,-6.28,6.28,5.7587600000000005,45.85000000000001,0.0,OK,-0.8000720000000001,-6.28,6.28,5.479928,43.629999999999995,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,0.7988159999999995,-6.28,6.28,5.481184000000001,43.64,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,3.1399999999999997,-6.28,6.28,3.1400000000000006,25.000000000000004,0.0,OK,2.617504000000001,-6.28,6.28,3.662495999999999,29.159999999999993,0.0,OK,0.7988159999999995,-6.28,6.28,5.481184000000001,43.64,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,2.3399279999999996,-6.28,6.28,3.9400720000000007,31.370000000000005,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,0,0,3.1400000000000006,right_joint_1
1.8021033830000002,0.0,-6.28,6.28,6.28,50.0,0.0,OK,0.5212399999999997,-6.28,6.28,5.7587600000000005,45.85000000000001,0.0,OK,-0.8000720000000001,-6.28,6.28,5.479928,43.629999999999995,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,0.7988159999999995,-6.28,6.28,5.481184000000001,43.64,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,3.1399999999999997,-6.28,6.28,3.1400000000000006,25.000000000000004,0.0,OK,2.617504000000001,-6.28,6.28,3.662495999999999,29.159999999999993,0.0,OK,0.7988159999999995,-6.28,6.28,5.481184000000001,43.64,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,2.3399279999999996,-6.28,6.28,3.9400720000000007,31.370000000000005,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,0,0,3.1400000000000006,right_joint_1
2.002211215,0.0,-6.28,6.28,6.28,50.0,0.0,OK,0.5212399999999997,-6.28,6.28,5.7587600000000005,45.85000000000001,0.0,OK,-0.8000720000000001,-6.28,6.28,5.479928,43.629999999999995,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,0.7988159999999995,-6.28,6.28,5.481184000000001,43.64,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,3.1399999999999997,-6.28,6.28,3.1400000000000006,25.000000000000004,0.0,OK,2.617504000000001,-6.28,6.28,3.662495999999999,29.159999999999993,0.0,OK,0.7988159999999995,-6.28,6.28,5.481184000000001,43.64,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,2.3399279999999996,-6.28,6.28,3.9400720000000007,31.370000000000005,0.0,OK,0.0,-6.28,6.28,6.28,50.0,0.0,OK,0,0,3.1400000000000006,right_joint_1
