time_s,left_j1,left_j2,left_j3,left_j4,left_j5,left_j6,right_j1,right_j2,right_j3,right_j4,right_j5,right_j6
0.218,2.8181028366088863,0.5857442864362382,-1.7643303679433318,1.3186384924265437,0.2260648477968063,1.0896085500717163,0.3300157189369201,2.2688643314613746,1.571842055251181,-1.3427919721070785,3.290121187827021,0.7286149859428406
0.418,2.8181028366088863,0.586210018431302,-1.7643303679433318,1.3187960961513454,0.22572383612714492,1.0896085500717163,0.3300157189369201,2.267773491927075,1.571842055251181,-1.343160232558147,3.2909179360285585,0.7286149859428406
0.618,2.8181028366088863,0.5874494656309251,-1.7643303679433318,1.3192156078839616,0.22481723801320203,1.0896085500717163,0.3300157189369201,2.2673085558199104,1.571842055251181,-1.3433172196018848,3.2912572064087677,0.7286149859428406
0.818,2.8181028366088863,0.588217920725583,-1.7643303679433318,1.319475765019888,0.22425583229050988,1.0896085500717163,0.3300157189369201,2.2662258975906315,1.571842055251181,-1.3436828463782136,3.292046496855614,0.7286149859428406
1.018,2.8181028366088863,0.5894351632887265,-1.7643303679433318,1.3198879524970835,0.22336763552448266,1.0896085500717163,0.3300157189369201,2.2651560956292105,1.571842055251181,-1.3440442197643265,3.2928253919089863,0.7286149859428406
1.218,2.8181028366088863,0.5898852264363085,-1.7643303679433318,1.3200403843547974,0.22303956969699376,1.0896085500717163,0.3300157189369201,2.2641047658980837,1.571842055251181,-1.3443994392946466,3.293589841341595,0.7286149859428406
1.418,2.8181028366088863,0.5907736305234721,-1.7643303679433318,1.3202914547619005,0.2223925177095227,1.0896085500717163,0.3300157189369201,2.2636610070330807,1.571842055251181,-1.3444994734309135,3.2939122120951603,0.7286149859428406
1.618,2.8181028366088863,0.5917847974342293,-1.7659792880949694,1.3204873641334418,0.22165692314592908,1.0896085500717163,0.3300157189369201,2.262646211995163,1.5734687752337768,-1.3446956053303427,3.2946487457593276,0.7286149859428406
1.818,2.8181028366088863,0.5926269742922158,-1.7676806755844168,1.3206784547837744,0.22104497523105257,1.0896085500717163,0.3300157189369201,2.2618010152509687,1.5751722729255555,-1.3448869118801656,3.295261471233966,0.7286149859428406
2.018,2.8181028366088863,0.5933094812789931,-1.7690595997337382,1.3208638851610888,0.22054952589678598,1.0896085500717163,0.3300157189369201,2.261116062218208,1.5765528991832973,-1.3450725507864252,3.2957575476830194,0.7286149859428406
2.218,2.8181028366088863,0.5941006724606267,-1.7706582263999748,1.3210425680554183,0.21997572021064135,1.0896085500717163,0.3300157189369201,2.260322037007428,1.5781534901252592,-1.34525143362407,3.2963320769704247,0.7286149859428406
2.418,2.8181028366088863,0.5949838161905061,-1.7724427976136221,1.3212135208268594,0.21933591943525263,1.0896085500717163,0.3300157189369201,2.259435731917621,1.5799402426709996,-1.3454225766981827,3.296972681171605,0.7286149859428406
2.618,2.8181028366088863,0.5957025817042448,-1.7738953278822018,1.3213769909234543,0.21881575071165588,1.0896085500717163,0.3300157189369201,2.258714395160497,1.5813945396002957,-1.3455862279515705,3.297493500489504,0.7286149859428406
2.818,2.8181028366088863,0.5966022249267552,-1.7757135388601468,1.321606776673434,0.21816538636630883,1.0896085500717163,0.3300157189369201,2.258141154736224,1.5825503306477906,-1.3457416231321977,3.2979070343935697,0.7286149859428406
3.018,2.8181028366088863,0.5969209048780612,-1.7763576428478713,1.3216789910184161,0.21793520005303452,1.0896085500717163,0.3300157189369201,2.257491717711675,1.5838598315531265,-1.345888560725142,3.298375147147449,0.7286149859428406
3.218,2.8181028366088863,0.5976222961326129,-1.7777753436603247,1.3218151156870588,0.21742893947521236,1.0896085500717163,0.3300157189369201,2.2567878224290343,1.5852792363511974,-1.346024834434501,3.298882034832782,0.7286149859428406
3.418,2.8181028366088863,0.598174818456755,-1.7788922135732732,1.3219410177152895,0.21703049369534722,1.0896085500717163,0.3300157189369201,2.256233329309909,1.586397443526947,-1.3461508738400871,3.2992809726347283,0.7286149859428406
3.618,2.8181028366088863,0.5986806617875118,-1.779914783815913,1.3220566869822503,0.21666600311800732,1.0896085500717163,0.3300157189369201,2.25556694219995,1.587741385817934,-1.3463204237523305,3.299759968733265,0.7286149859428406
3.818,2.8181028366088863,0.5990653430417298,-1.780692460270076,1.3221620044132576,0.21638901574260688,1.0896085500717163,0.3300157189369201,2.2553396327566606,1.5881998365584864,-1.3463721006264668,3.299923239843333,0.7286149859428406
4.019,2.8181028366088863,0.5995442689527408,-1.7816607089553154,1.3221620044132576,0.2161399859069208,1.0896085500717163,0.3300157189369201,2.254923734872138,1.589038674101174,-1.3463721006264668,3.300172575065512,0.7286149859428406
4.218,2.8181028366088863,0.5998981382472265,-1.782376163551818,1.3221620044132576,0.21596842918006603,1.0896085500717163,0.3300157189369201,2.25450387921592,1.5898855375344267,-1.3463721006264668,3.3003443416891924,0.7286149859428406
4.418,2.8181028366088863,0.6002442873832479,-1.7830760392098468,1.3221620044132576,0.2157561646126853,1.0896085500717163,0.3300157189369201,2.254156504903224,1.5906744964158845,-1.3463721006264668,3.300556865404355,0.7286149859428406
4.618,2.8181028366088863,0.6003261855257733,-1.783408013863665,1.3221620044132576,0.2156973863384339,1.0896085500717163,0.3300157189369201,2.25407431778149,1.5909186083590596,-1.3463721006264668,3.300615715328599,0.7286149859428406
4.818,2.8181028366088863,0.6004599951047566,-1.7838139553496162,1.3221620044132576,0.21564498308725907,1.0896085500717163,0.3300157189369201,2.25394003798647,1.5913250297162433,-1.3463721006264668,3.300668182404474,0.7286149859428406
5.018,2.8181028366088863,0.6005112150924106,-1.7841438296418355,1.3221620044132576,0.21564498308725907,1.0896085500717163,0.3300157189369201,2.2538886391957953,1.5916552945127465,-1.3463721006264668,3.300668182404474,0.7286149859428406
5.218,2.8181028366088863,0.6005112150924106,-1.7842844170700127,1.3221620044132576,0.21564498308725907,1.0896085500717163,0.3300157189369201,2.2538886391957953,1.5917960491933612,-1.3463721006264668,3.300668182404474,0.7286149859428406
5.418,2.8181028366088863,0.6005112150924106,-1.7843394089286457,1.3221620044132576,0.21564498308725907,1.0896085500717163,0.3300157189369201,2.2538886391957953,1.5918511074160036,-1.3463721006264668,3.300668182404474,0.7286149859428406
5.618,2.8181028366088863,0.6005112150924106,-1.7843394089286457,1.3221620044132576,0.21564498308725907,1.0896085500717163,0.3300157189369201,2.2538886391957953,1.5918511074160036,-1.3463721006264668,3.300668182404474,0.7286149859428406
