time_s,sim_left_j1,sim_left_j2,sim_left_j3,sim_left_j4,sim_left_j5,sim_left_j6,sim_right_j1,sim_right_j2,sim_right_j3,sim_right_j4,sim_right_j5,sim_right_j6,real_left_j1,real_left_j2,real_left_j3,real_left_j4,real_left_j5,real_left_j6,real_right_j1,real_right_j2,real_right_j3,real_right_j4,real_right_j5,real_right_j6,sim_delta_left_j1,sim_delta_left_j2,sim_delta_left_j3,sim_delta_left_j4,sim_delta_left_j5,sim_delta_left_j6,sim_delta_right_j1,sim_delta_right_j2,sim_delta_right_j3,sim_delta_right_j4,sim_delta_right_j5,sim_delta_right_j6,real_delta_left_j1,real_delta_left_j2,real_delta_left_j3,real_delta_left_j4,real_delta_left_j5,real_delta_left_j6,real_delta_right_j1,real_delta_right_j2,real_delta_right_j3,real_delta_right_j4,real_delta_right_j5,real_delta_right_j6,error_left_j1,error_left_j2,error_left_j3,error_left_j4,error_left_j5,error_left_j6,error_right_j1,error_right_j2,error_right_j3,error_right_j4,error_right_j5,error_right_j6,left_motion_state,left_power_state,left_servo_state,left_collision_state,right_motion_state,right_power_state,right_servo_state,right_collision_state
1.120,2.483476909947447,0.8520902444707087,-0.4691771174011261,-0.496378457368131,1.0573552238764816,0.0,0.660083331680132,3.1352011919630196,0.9769654879261623,0.18910316841348793,2.240425451579953,0.0,2.7774855257994036,0.6406093297118769,-1.8243865714539536,1.282316522072496,0.2557094426920244,1.0896085500717163,0.3697413013323941,2.2940764602826773,1.6318420543102652,-1.3064044952770812,3.3407976936432626,0.7286149859428406,0.0003324953178456269,-0.0008044626653681552,0.006020237453174759,0.017914930880422508,-0.005923274988114846,0.0,0.0003413698436693924,0.000336299578460153,-0.002696066302039446,-0.008327806954048639,0.00414205023274361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003324953178456269,0.0008044626653681552,-0.006020237453174759,-0.017914930880422508,0.005923274988114846,0.0,-0.0003413698436693924,-0.000336299578460153,0.002696066302039446,0.008327806954048639,-0.00414205023274361,0.0,0,1,1,0,0,1,1,0
1.221,2.483495723836426,0.8520423658042106,-0.4688197424133818,-0.4953135750160403,1.0570056283546296,0.0,0.6601032284314264,3.135220790875708,0.9768051142090858,0.188608271431702,2.2406714685295768,0.0,2.7774855257994036,0.6406093297118769,-1.8243865714539536,1.282316522072496,0.2557094426920244,1.0896085500717163,0.3697413013323941,2.2940764602826773,1.6318420543102652,-1.3064044952770812,3.3407976936432626,0.7286149859428406,0.0003513092068243573,-0.0008523413318662909,0.006377612440919056,0.018979813232513243,-0.0062728705099668325,0.0,0.0003612665949638272,0.0003558984911484764,-0.002856440019116002,-0.008822703935834564,0.0043880671823672834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003513092068243573,0.0008523413318662909,-0.006377612440919056,-0.018979813232513243,0.0062728705099668325,0.0,-0.0003612665949638272,-0.0003558984911484764,0.002856440019116002,0.008822703935834564,-0.0043880671823672834,0.0,0,1,1,0,0,1,1,0
1.320,2.483523468162436,0.8519712152952416,-0.4682887962329587,-0.4937311807304166,1.0564866566393178,0.0,0.6601327285544475,3.135249840563967,0.9765667836129702,0.18787289155627895,2.2410370041604444,0.0,2.7774855257994036,0.6406093297118769,-1.8243865714539536,1.282316522072496,0.2557094426920244,1.0896085500717163,0.3697413013323941,2.2940764602826773,1.6318420543102652,-1.3064044952770812,3.3407976936432626,0.7286149859428406,0.00037905353283429477,-0.0009234918408352888,0.0069085586213421535,0.02056220751813692,-0.0067918422252786215,0.0,0.0003907667179848806,0.0003849481794073739,-0.003094770615231557,-0.009558083811257612,0.004753602813234892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00037905353283429477,0.0009234918408352888,-0.0069085586213421535,-0.02056220751813692,0.0067918422252786215,0.0,-0.0003907667179848806,-0.0003849481794073739,0.003094770615231557,0.009558083811257612,-0.004753602813234892,0.0,0,1,1,0,0,1,1,0
1.420,2.4835508547346015,0.8519003216594394,-0.46775991299281927,-0.4921545529849322,1.0559701961577301,0.0,0.6601620461935335,3.135278698112067,0.9763293010112214,0.18714022484826778,2.2414011589585803,0.0,2.7774855257994036,0.6406093297118769,-1.8243865714539536,1.282316522072496,0.2557094426920244,1.0896085500717163,0.3697413013323941,2.2940764602826773,1.6318420543102652,-1.3064044952770812,3.3407976936432626,0.7286149859428406,0.00040644010499990557,-0.0009943854766374383,0.007437441861481597,0.022138835263621315,-0.007308302706866332,0.0,0.0004200843570708601,0.000413805727507377,-0.0033322532169803853,-0.010290750519268782,0.005117757611370788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00040644010499990557,0.0009943854766374383,-0.007437441861481597,-0.022138835263621315,0.007308302706866332,0.0,-0.0004200843570708601,-0.000413805727507377,0.0033322532169803853,0.010290750519268782,-0.005117757611370788,0.0,0,1,1,0,0,1,1,0
1.520,2.4835778947962677,0.8518296551266926,-0.4672328544018017,-0.49058297908006165,1.0554560078768507,0.0,0.6601911993483075,3.1353073792944715,0.9760925607698242,0.18640994064486197,2.2417640977198765,0.0,2.7774855257994036,0.6406093297118769,-1.8243865714539536,1.282316522072496,0.2557094426920244,1.0896085500717163,0.3697413013323941,2.2940764602826773,1.6318420543102652,-1.3064044952770812,3.3407976936432626,0.7286149859428406,0.00043348016666611144,-0.0010650520093842264,0.00796450045249919,0.023710409168491875,-0.00782249098774579,0.0,0.000449237511844891,0.0004424869099119988,-0.0035689934583775784,-0.0110210347226746,0.0054806963726670155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00043348016666611144,0.0010650520093842264,-0.00796450045249919,-0.023710409168491875,0.00782249098774579,0.0,-0.000449237511844891,-0.0004424869099119988,0.0035689934583775784,0.0110210347226746,-0.0054806963726670155,0.0,0,1,1,0,0,1,1,0
1.620,2.483604499683058,0.8517594489268847,-0.4667093440456324,-0.4890215971958645,1.0549457656414964,0.0,0.6602200974660969,3.135335793217129,0.9758573386132037,0.18568442699797716,2.242124634152487,0.0,2.7774855257994036,0.6406093297118769,-1.8243865714539536,1.282316522072496,0.2557094426920244,1.0896085500717163,0.3697413013323941,2.2940764602826773,1.6318420543102652,-1.3064044952770812,3.3407976936432626,0.7286149859428406,0.000460085053456627,-0.001135258209192136,0.008488010808668456,0.025271791052689008,-0.00833273322310002,0.0,0.0004781356296342798,0.00047090083256939863,-0.0038042156149981077,-0.011746548369559406,0.005841232805277485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000460085053456627,0.001135258209192136,-0.008488010808668456,-0.025271791052689008,0.00833273322310002,0.0,-0.0004781356296342798,-0.00047090083256939863,0.0038042156149981077,0.011746548369559406,-0.005841232805277485,0.0,0,1,1,0,0,1,1,0
1.720,2.483630769375536,0.85168944203365,-0.4661874200351961,-0.48746455542070927,1.0544375489965618,0.0,0.6602488535331961,3.1353640492823405,0.9756227546342918,0.18496096511446328,2.242484119898841,0.0,2.7774855257994036,0.6406093297118769,-1.8243865714539536,1.282316522072496,0.2557094426920244,1.0896085500717163,0.3697413013323941,2.2940764602826773,1.6318420543102652,-1.3064044952770812,3.3407976936432626,0.7286149859428406,0.000486354745934392,-0.0012052651024268002,0.009009934819104781,0.026828832827844262,-0.008840949868034631,0.0,0.000506891696733458,0.0004991568977810168,-0.004038799593909959,-0.012470010253073288,0.006200718551631734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000486354745934392,0.0012052651024268002,-0.009009934819104781,-0.026828832827844262,0.008840949868034631,0.0,-0.000506891696733458,-0.0004991568977810168,0.004038799593909959,0.012470010253073288,-0.006200718551631734,0.0,0,1,1,0,0,1,1,0
1.820,2.4836652382794018,0.8515965030657984,-0.4654946617270178,-0.4853972528224043,1.0537637238840427,0.0,0.6602869440975666,3.135401446151892,0.9753112729461788,0.1840004720199131,2.242961337777272,0.0,2.7774855257994036,0.6406093297118769,-1.8243865714539536,1.282316522072496,0.2557094426920244,1.0896085500717163,0.3697413013323941,2.2940764602826773,1.6318420543102652,-1.3064044952770812,3.3407976936432626,0.7286149859428406,0.0005208236498002172,-0.0012982040702784747,0.009702693127283057,0.028896135426149216,-0.009514774980553753,0.0,0.0005449822611039989,0.0005365537673327481,-0.004350281282022972,-0.013430503347623468,0.006677936430062648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005208236498002172,0.0012982040702784747,-0.009702693127283057,-0.028896135426149216,0.009514774980553753,0.0,-0.0005449822611039989,-0.0005365537673327481,0.004350281282022972,0.013430503347623468,-0.006677936430062648,0.0,0,1,1,0,0,1,1,0
1.920,2.483690630524298,0.8515272156208554,-0.46497828071579633,-0.48385582322952986,1.0532620033808597,0.0,0.6603152835522904,3.135429243799136,0.9750790104266188,0.18328434821582537,2.2433171061324404,0.0,2.7774855257994036,0.6406093297118769,-1.8243865714539536,1.282316522072496,0.2557094426920244,1.0896085500717163,0.3697413013323941,2.2940764602826773,1.6318420543102652,-1.3064044952770812,3.3407976936432626,0.7286149859428406,0.0005462158946962781,-0.0013674915152214195,0.010219074138504536,0.03043756501902367,-0.010016495483736731,0.0,0.0005733217158278014,0.0005643514145763362,-0.004582543801582961,-0.014146627151711194,0.00703370478523091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005462158946962781,0.0013674915152214195,-0.010219074138504536,-0.03043756501902367,0.010016495483736731,0.0,-0.0005733217158278014,-0.0005643514145763362,0.004582543801582961,0.014146627151711194,-0.00703370478523091,0.0,0,1,1,0,0,1,1,0
2.020,2.483707429886806,0.851480976146459,-0.4646337016602972,-0.48282700849569926,1.0529274670660973,0.0,0.6603341710022111,3.1354477569363057,0.9749239825687062,0.1828063978566098,2.2435545337740934,0.0,2.7774855257994036,0.6406093297118769,-1.8243865714539536,1.282316522072496,0.2557094426920244,1.0896085500717163,0.3697413013323941,2.2940764602826773,1.6318420543102652,-1.3064044952770812,3.3407976936432626,0.7286149859428406,0.00056301525720448,-0.001413730989617834,0.010563653194003653,0.03146637975285427,-0.010351031798499166,0.0,0.0005922091657485362,0.000582864551746276,-0.004737571659495621,-0.014624577510926773,0.007271132426883931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056301525720448,0.001413730989617834,-0.010563653194003653,-0.03146637975285427,0.010351031798499166,0.0,-0.0005922091657485362,-0.000582864551746276,0.004737571659495621,0.014624577510926773,-0.007271132426883931,0.0,0,1,1,0,0,1,1,0
