receive_wall_iso,receive_monotonic_ns,elapsed_sec,ros_stamp_ns,side,cycle,completed_cycles,step_index,step_name,sequence_status,j1_rad,j2_rad,j3_rad,j4_rad,j5_rad,j6_rad
2026-07-17T09:59:43.312+07:00,3680813807622,0.028048788,1784257183312398356,right,,,,,,0.08362964540719985,2.8592031002044678,0.6508644819259644,-1.5157943964004517,3.2493093013763423,1.9337618350982675
2026-07-17T09:59:43.343+07:00,3680844943852,0.059185018,1784257183343673690,left,,,,,,3.0326125621795654,0.5639516711235047,-0.23975493013858787,1.5973879098892212,-0.13782687485218048,1.8970664739608762
2026-07-17T09:59:43.377+07:00,3680878487114,0.092728280,1784257183377158118,right,,,,,,0.08362964540719985,2.8592031002044678,0.6508644819259644,-1.5157943964004517,3.2493093013763423,1.9337618350982675
2026-07-17T09:59:43.409+07:00,3680910774693,0.125015859,1784257183409385491,left,,,,,,3.0326125621795654,0.5639516711235047,-0.23975493013858787,1.5973879098892212,-0.13782687485218048,1.8970664739608762
2026-07-17T09:59:43.442+07:00,3680943028354,0.157269520,1784257183441535660,right,,,,,,0.08362964540719985,2.8592031002044678,0.6508644819259644,-1.5157943964004517,3.2493093013763423,1.9337618350982675
2026-07-17T09:59:43.475+07:00,3680976032120,0.190273286,1784257183474548991,left,,,,,,3.0326125621795654,0.5639516711235047,-0.23975493013858787,1.5973879098892212,-0.13782687485218048,1.8970664739608762
2026-07-17T09:59:43.502+07:00,3681003768034,0.218009200,1784257183502254110,right,,,,,,0.08362964540719985,2.8592031002044678,0.6508644819259644,-1.5157943964004517,3.2493093013763423,1.9337618350982675
2026-07-17T09:59:43.549+07:00,3681050461013,0.264702179,1784257183537663996,left,,,,,,3.0326125621795654,0.5639516711235047,-0.23975493013858787,1.5973879098892212,-0.13782687485218048,1.8970664739608762
2026-07-17T09:59:43.564+07:00,3681065092908,0.279334074,1784257183563623567,right,,,,,,0.08362964540719985,2.8592031002044678,0.6508644819259644,-1.5157943964004517,3.2493093013763423,1.9337618350982675
2026-07-17T09:59:43.600+07:00,3681101309045,0.315550211,1784257183599999444,left,,,,,,3.0326125621795654,0.5639516711235047,-0.23975493013858787,1.5973879098892212,-0.13782687485218048,1.8970664739608762
