elapsed_sec,side,current_j1,current_j2,current_j3,current_j4,current_j5,current_j6,torque_j1,torque_j2,torque_j3,torque_j4,torque_j5,torque_j6,monitor_velocity_j1,monitor_velocity_j2,monitor_velocity_j3,monitor_velocity_j4,monitor_velocity_j5,monitor_velocity_j6,joint_position_j1,joint_position_j2,joint_position_j3,joint_position_j4,joint_position_j5,joint_position_j6
0.313503707,left,-7.2353515625,-1.11254882812,0.12939453125,-0.22705078125,-0.0390625,0.08544921875,-107.316600216,-16.5016111211,1.30688476562,-2.29321289062,-0.39453125,0.863037109375,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan
1.042084396,right,8.76037597656,0.60546875,-0.31494140625,0.61279296875,0.101928710938,-0.015869140625,129.936155596,8.98046863731,-3.18090820312,6.18920898438,1.02947998047,-0.160278320312,0,0,0,0,0,0,0.132445114252,2.65674477106,0.595195056932,-1.53973422978,3.30814381266,1.6755587264
1.350028360,left,-7.24291992188,-0.949829101562,0.14404296875,-0.2490234375,-0.0537109375,0.0701904296875,-107.428856074,-14.0881101748,1.45483398438,-2.51513671875,-0.54248046875,0.708923339844,0,0,0,0,0,0,2.99770972435,0.503253374359,-0.595569993078,1.53575396483,-0.171726848443,1.47529519325
2.501868999,right,8.75280761719,0.628173828125,-0.33447265625,0.60791015625,0.106811523438,-0.05126953125,129.823899738,9.31723621121,-3.37817382812,6.13989257812,1.07879638672,-0.517822265625,0,0,0,0,0,0,0.132445114252,2.65674477106,0.595195056932,-1.53973422978,3.30814381266,1.6755587264
2.855044253,left,-7.24670410156,-1.10876464844,0.12451171875,-0.29052734375,-0.0469970703125,0.0732421875,-107.484984003,-16.4454831921,1.25756835938,-2.93432617188,-0.474670410156,0.73974609375,0,0,0,0,0,0,2.99770972435,0.503253374359,-0.595569993078,1.53575396483,-0.171726848443,1.47529519325
3.540584704,right,8.75280761719,0.628173828125,-0.3857421875,0.60791015625,0.1025390625,-0.048828125,129.823899738,9.31723621121,-3.89599609375,6.13989257812,1.03564453125,-0.4931640625,0,0,0,0,0,0,0.132445114252,2.65674477106,0.595195056932,-1.53973422978,3.30814381266,1.6755587264
4.012831112,left,-7.2353515625,-1.10498046875,0.1171875,-0.2392578125,-0.04150390625,0.072021484375,-107.316600216,-16.3893552631,1.18359375,-2.41650390625,-0.419189453125,0.727416992188,0,0,0,0,0,0,2.99770972435,0.503253374359,-0.595569993078,1.53575396483,-0.171726848443,1.47529519325
4.548791073,right,8.75280761719,0.624389648438,-0.3857421875,0.62255859375,0.105590820312,-0.0494384765625,129.823899738,9.26110828223,-3.89599609375,6.28784179688,1.06646728516,-0.499328613281,0,0,0,0,0,0,0.132445114252,2.65674477106,0.595195056932,-1.53973422978,3.30814381266,1.6755587264
5.202043238,left,-7.24670410156,-1.11633300781,0.13671875,-0.1953125,-0.0238037109375,0.08544921875,-107.484984003,-16.55773905,1.380859375,-1.97265625,-0.240417480469,0.863037109375,0,0,0,0,0,0,2.99770972435,0.503253374359,-0.595569993078,1.53575396483,-0.171726848443,1.47529519325
5.589150376,right,8.74145507812,0.631958007812,-0.3955078125,0.62744140625,0.109252929688,-0.0274658203125,129.655515951,9.37336414019,-3.99462890625,6.33715820312,1.10345458984,-0.277404785156,0,0,0,0,0,0,0.132445114252,2.65674477106,0.595195056932,-1.53973422978,3.30814381266,1.6755587264
6.560292636,left,-7.23913574219,-1.27526855469,0.11474609375,-0.21484375,-0.045166015625,0.0714111328125,-107.372728145,-18.9151120673,1.15893554688,-2.169921875,-0.456176757812,0.721252441406,0,0,0,0,0,0,2.99770972435,0.503253374359,-0.595569993078,1.53575396483,-0.171726848443,1.47529519325
6.619259271,right,8.75280761719,0.6357421875,-0.400390625,0.63232421875,0.110473632812,-0.0421142578125,129.823899738,9.42949206918,-4.0439453125,6.38647460938,1.11578369141,-0.425354003906,0,0,0,0,0,0,0.132445114252,2.65674477106,0.595195056932,-1.53973422978,3.30814381266,1.6755587264
7.778015861,right,8.76416015625,0.643310546875,-0.361328125,0.6298828125,0.1171875,-0.0177001953125,129.992283525,9.54174792714,-3.6494140625,6.36181640625,1.18359375,-0.178771972656,0,0,0,0,0,0,0.132445114252,2.65674477106,0.595195056932,-1.53973422978,3.30814381266,1.6755587264
7.796354258,left,-7.25805664062,-1.10498046875,0.1220703125,-0.205078125,-0.0360107421875,0.076904296875,-107.65336779,-16.3893552631,1.23291015625,-2.0712890625,-0.363708496094,0.776733398438,0,0,0,0,0,0,2.99770972435,0.503253374359,-0.595569993078,1.53575396483,-0.171726848443,1.47529519325
8.794645316,right,8.74523925781,0.62060546875,-0.3466796875,0.625,0.111694335938,-0.0482177734375,129.71164388,9.20498035324,-3.50146484375,6.3125,1.12811279297,-0.486999511719,0,0,0,0,0,0,0.132445114252,2.65674477106,0.595195056932,-1.53973422978,3.30814381266,1.6755587264
9.241759176,left,-7.25427246094,-1.10876464844,0.13671875,-0.2197265625,-0.0341796875,0.08544921875,-107.597239861,-16.4454831921,1.380859375,-2.21923828125,-0.34521484375,0.863037109375,0,0,0,0,0,0,2.99770972435,0.503253374359,-0.595569993078,1.53575396483,-0.171726848443,1.47529519325
9.941026741,right,8.74523925781,0.628173828125,-0.3369140625,0.59326171875,0.106811523438,-0.0592041015625,129.71164388,9.31723621121,-3.40283203125,5.99194335938,1.07879638672,-0.597961425781,0,0,0,0,0,0,0.132445114252,2.65674477106,0.595195056932,-1.53973422978,3.30814381266,1.6755587264
10.614624787,left,-7.27697753906,-1.10876464844,0.14892578125,-0.20263671875,-0.03662109375,0.0958251953125,-107.934007435,-16.4454831921,1.50415039062,-2.04663085938,-0.369873046875,0.967834472656,0,0,0,0,0,0,2.99770972435,0.503253374359,-0.595569993078,1.53575396483,-0.171726848443,1.47529519325
11.057194080,right,8.7490234375,0.6357421875,-0.3369140625,0.615234375,0.107421875,-0.05126953125,129.767771809,9.42949206918,-3.40283203125,6.2138671875,1.0849609375,-0.517822265625,0,0,0,0,0,0,0.132445114252,2.65674477106,0.595195056932,-1.53973422978,3.30814381266,1.6755587264
11.897222335,left,-7.28454589844,-1.11633300781,0.18798828125,-0.224609375,-0.0238037109375,0.064697265625,-108.046263293,-16.55773905,1.89868164062,-2.2685546875,-0.240417480469,0.653442382812,0,0,0,0,0,0,2.99770972435,0.503253374359,-0.595569993078,1.53575396483,-0.171726848443,1.47529519325
12.408258828,right,8.76037597656,0.62060546875,-0.32958984375,0.62255859375,0.09765625,-0.0531005859375,129.936155596,9.20498035324,-3.32885742188,6.28784179688,0.986328125,-0.536315917969,0,0,0,0,0,0,0.132445114252,2.65674477106,0.595195056932,-1.53973422978,3.30814381266,1.6755587264
12.992548083,left,-7.26940917969,-1.11254882812,0.20263671875,-0.205078125,-0.0341796875,0.0958251953125,-107.821751577,-16.5016111211,2.04663085938,-2.0712890625,-0.34521484375,0.967834472656,0,0,0,0,0,0,2.99770972435,0.503253374359,-0.595569993078,1.53575396483,-0.171726848443,1.47529519325
13.392392514,right,8.73767089844,0.616821289062,-0.33447265625,0.615234375,0.113525390625,-0.0579833984375,129.599388022,9.14885242426,-3.37817382812,6.2138671875,1.14660644531,-0.585632324219,0,0,0,0,0,0,0.132445114252,2.65674477106,0.595195056932,-1.53973422978,3.30814381266,1.6755587264
14.440556946,left,-7.265625,-1.1201171875,0.1513671875,-0.234375,-0.0140380859375,0.07568359375,-107.765623648,-16.613866979,1.52880859375,-2.3671875,-0.141784667969,0.764404296875,0,0,0,0,0,0,2.99770972435,0.503253374359,-0.595569993078,1.53575396483,-0.171726848443,1.47529519325
14.634267491,right,8.62414550781,0.62060546875,-0.341796875,0.62255859375,0.11962890625,-0.0518798828125,127.915550153,9.20498035324,-3.4521484375,6.28784179688,1.20825195312,-0.523986816406,0,0,0,0,0,0,0.132445114252,2.65674477106,0.595195056932,-1.53973422978,3.30814381266,1.6755587264
